rank,name,country,profits,headquarters,revenue,marketvalue,assets,ceo,industry,state
331,Sompo,Japan,1728.8,Japan,32232,16434,111380,Kengo Sakurada,Property & Casualty Insurance,
86,Sony,Japan,4428.3,Japan,77089,59896,179272,Kenichiro Yoshida,Consumer Electronics,
926,South32,Australia,1155.2,Australia,7227,15238,14786,Graham Kerr,Diversified Metals & Mining,
286,Southern Company,United States,1152,Georgia,23779,45453,111567,Thomas Fanning,Electric Utilities,Georgia
380,Southwest Airlines,United States,3600,Texas,21233,30416,25503,Gary Kelly,Airline,Texas
1973,Southwestern Energy,United States,903,Texas,3277,2512,7713,William Way,Oil & Gas Operations,Texas
1887,Spirit AeroSystems,United States,338.4,Kansas,7025,9589,5370,Thomas Gentile,Aerospace & Defense,Kansas
1941,Splunk,United States,-259.1,California,1271,16826,2044,Franky Depickere,Computer Services,California
1644,Spotify Technology,Luxembourg,-1393,Luxembourg,4613,27029,3938,Daniel Ek,Software & Programming,
1784,Square,United States,-71.7,California,2421,22024,2380,,Software & Programming,California
1944,St Galler Kantonalbank,Switzerland,158.5,Switzerland,594,3044,33451,Roland Ledergerber,Regional Banks,
966,St. James's Place,United Kingdom,187.9,United Kingdom,11595,8508,121644,Andrew Croft,Investment Services,
376,Standard Bank Group,South Africa,2016.2,South Africa,9586,28534,163807,Lungisa Fuzile,Regional Banks,
309,Standard Chartered,United Kingdom,892.6,United Kingdom,20958,34411,663501,Bill Winters,Major Banks,
438,Standard Life,United Kingdom,900.2,United Kingdom,21276,14772,261487,Martin Gilbert,Life & Health Insurance,
683,Stanley Black & Decker,United States,1003.5,Connecticut,13151,22174,19683,James Loree,Household/Personal Care,Connecticut
370,Starbucks,United States,4390.4,Washington,23466,79033,17554,Kevin Johnson,Restaurants,Washington
1530,Starwood Property Trust,United States,395.3,Connecticut,943,5635,61127,Barry Sternlicht,Real Estate,Connecticut
489,State Bank of India,India,1.2,India,46178,33275,535022,Rajnish Kumar,Regional Banks,
292,State Street,United States,2335,Massachusetts,11790,37275,250286,Joseph Hooley,Investment Services,Massachusetts
1928,Steel Authority of India,India,-411,India,6636,4508,17751,P. Singh,Iron & Steel,
1089,Steel Dynamics,United States,839.5,Indiana,9774,11379,6973,Mark Millett,Iron & Steel,Indiana
775,Steinhoff International,Netherlands,1359,Netherlands,18124,574,37081,Daniël van der Merwe,Furniture & Fixtures,
1526,Stockland Australia,Australia,902.2,Australia,2178,7726,14757,Ching Lee,Real Estate,
838,Stora Enso,Finland,917.4,Finland,11835,16267,14541,Karl-Henrik Sundström,Paper & Paper Products,
1400,Storebrand,Norway,324.9,Norway,6139,3987,72549,Odd Grefstad,Diversified Insurance,
543,Stryker,United States,1019,Michigan,12730,63337,22133,Kevin Lobo,Medical Equipment & Supplies,Michigan
407,Subaru,Japan,1988.2,Japan,30724,25285,27121,Yasuyuki Yoshinaga,Auto & Truck Manufacturers,
1996,Sumec Corporation,China,54.9,China,11287,1205,6930,Ji Cai,,
253,Sumitomo,Japan,2783.7,Japan,43555,21991,73067,Kuniharu Nakamura,Trading Companies,
705,Sumitomo Chemical,Japan,1237.1,Japan,19493,9442,27726,Osamu Ishitobi,Diversified Chemicals,
